date,white,white_elo,black,black_elo,opening
2021.03.04,Jenifer5,1298,AleStern,1284,"Bongcloud Attack"
2021.03.04,lewis2021,1387,Jesus_Loves,1398,"Bongcloud Attack"
2021.03.04,AlexRod1809,890,Dael05,1341,"Bongcloud Attack"
2021.03.04,dogg123,1541,dogg562,1553,"Bongcloud Attack"
2021.03.04,COLJ_BRZ,1535,kohmar,1531,"Bongcloud Attack"
2021.03.04,ivanfearango,1314,mound,1257,"Bongcloud Attack"
2021.03.04,ZF2K,1264,LunarAmbrosia,1279,"Bongcloud Attack"
2021.03.04,COLJ_BRZ,1513,CesarPajuelo_UTP,1532,"Bongcloud Attack"
2021.03.04,Mate_On_f7,1470,rodtran23,1386,"Bongcloud Attack"
2021.03.04,oliversetiono123,1242,Gustalfil,1321,"Bongcloud Attack"
2021.03.04,Gustalfil,1310,MHA2406,1343,"Bongcloud Attack"
2021.03.04,KingZero23,1208,lukduk,1233,"Bongcloud Attack"
2021.03.04,Mabaitnabata,1394,knn33,1344,"Bongcloud Attack"
2021.03.04,Gustalfil,1310,hardik_a,1311,"Bongcloud Attack"
2021.03.04,PiyK,1252,ademfoi,1221,"Bongcloud Attack"
2021.03.04,piyush_jpr_chess,2015,Usturaci,1902,"Bongcloud Attack"
2021.03.04,i_hate_chesssss,937,hermestrisme11,824,"Bongcloud Attack"
2021.03.04,HikaruNakamuraBot,1913,clueless-bot,2200,"Bongcloud Attack"
2021.03.04,QiSteiner,1265,nesturillu,1258,"Bongcloud Attack"
2021.03.04,danialadib,921,DemianAbbot,930,"Bongcloud Attack"
2021.03.04,BloomJr,888,Kuzey0808,867,"Bongcloud Attack"
2021.03.04,nurqaisara,1500,A7007,1711,"Bongcloud Attack"
2021.03.04,Slavisaaa,1899,aajith2004,1298,"Bongcloud Attack"
2021.03.04,Broken_Sway,1399,MaGnUs-204,1444,"Bongcloud Attack"
2021.03.04,Warrenko,1658,Berlinmars,1716,"Bongcloud Attack"
